STATION,DATE,PRCP,DATE_year,DATE_month
VQC00672551,1990-05-15,62.4,1990,5
VQC00672551,1990-06-15,106.5,1990,6
VQC00672551,1990-07-15,52.6,1990,7
VQC00672551,1990-08-15,73.3,1990,8
VQC00672551,1990-09-15,47.9,1990,9
VQC00672551,1990-10-15,,1990,10
VQC00672551,1990-11-15,88.9,1990,11
VQC00672551,1990-12-15,80.1,1990,12
VQC00672551,1991-01-15,,1991,1
VQC00672551,1991-02-15,,1991,2
VQC00672551,1991-03-15,58.1,1991,3
VQC00672551,1991-04-15,29.7,1991,4
VQC00672551,1991-05-15,41.4,1991,5
VQC00672551,1991-06-15,27.9,1991,6
VQC00672551,1991-07-15,35.6,1991,7
VQC00672551,1991-08-15,81.3,1991,8
VQC00672551,1991-09-15,80.7,1991,9
VQC00672551,1991-10-15,67.2,1991,10
VQC00672551,1991-11-15,132.9,1991,11
VQC00672551,1991-12-15,76.7,1991,12
VQC00672551,1992-01-15,92.8,1992,1
VQC00672551,1992-02-15,42.3,1992,2
VQC00672551,1992-03-15,22.6,1992,3
VQC00672551,1992-04-15,60.2,1992,4
VQC00672551,1992-05-15,106.5,1992,5
VQC00672551,1992-06-15,70.1,1992,6
VQC00672551,1992-07-15,62.4,1992,7
VQC00672551,1992-08-15,96.1,1992,8
VQC00672551,1992-09-15,99.4,1992,9
VQC00672551,1992-10-15,75.6,1992,10
VQC00672551,1992-11-15,205.8,1992,11
VQC00672551,1992-12-15,130.8,1992,12
VQC00672551,1993-01-15,68.3,1993,1
VQC00672551,1993-02-15,54.3,1993,2
VQC00672551,1993-03-15,16.6,1993,3
VQC00672551,1993-04-15,69.5,1993,4
VQC00672551,1993-05-15,106.3,1993,5
VQC00672551,1993-06-15,94.5,1993,6
VQC00672551,1993-07-15,48.7,1993,7
VQC00672551,1993-08-15,40.4,1993,8
VQC00672551,1993-09-15,52.7,1993,9
VQC00672551,1993-10-15,76.6,1993,10
VQC00672551,1993-11-15,156.5,1993,11
VQC00672551,1993-12-15,38.5,1993,12
VQC00672551,1994-01-15,73.3,1994,1
VQC00672551,1994-02-15,22.2,1994,2
VQC00672551,1994-03-15,25.4,1994,3
VQC00672551,1994-04-15,22.2,1994,4
VQC00672551,1994-05-15,7.9,1994,5
VQC00672551,1994-06-15,27.4,1994,6
VQC00672551,1994-07-15,27.8,1994,7
VQC00672551,1994-08-15,41.4,1994,8
VQC00672551,1994-09-15,104.2,1994,9
VQC00672551,1994-10-15,100.9,1994,10
VQC00672551,1994-11-15,70.2,1994,11
VQC00672551,1994-12-15,39.5,1994,12
VQC00672551,1995-01-15,42.7,1995,1
VQC00672551,1995-02-15,50.6,1995,2
VQC00672551,1995-03-15,24.1,1995,3
VQC00672551,1995-04-15,1.8,1995,4
VQC00672551,1995-05-15,14.4,1995,5
VQC00672551,1995-06-15,72.3,1995,6
VQC00672551,1995-07-15,94.6,1995,7
VQC00672551,1995-09-15,240.6,1995,9
VQC00672551,1995-11-15,38.2,1995,11
VQC00672551,1995-12-15,104.7,1995,12
VQC00672551,1996-01-15,92.3,1996,1
VQC00672551,1996-02-15,33.1,1996,2
VQC00672551,1996-04-15,46.3,1996,4
VQC00672551,1996-07-15,107.6,1996,7
VQC00672551,1996-08-15,52.5,1996,8
VQC00672551,1996-09-15,221.7,1996,9
VQC00672551,1996-10-15,79.3,1996,10
VQC00672551,1996-11-15,263.8,1996,11
VQC00672551,1996-12-15,25.9,1996,12
VQC00672551,1997-01-15,92.6,1997,1
VQC00672551,1997-02-15,91.6,1997,2
VQC00672551,1997-03-15,32.3,1997,3
VQC00672551,1997-04-15,8,1997,4
VQC00672551,1997-05-15,28.2,1997,5
VQC00672551,1997-06-15,27.8,1997,6
VQC00672551,1997-07-15,143.1,1997,7
VQC00672551,2002-04-15,44.5,2002,4
VQC00672551,2002-05-15,38,2002,5
VQC00672551,2002-06-15,60.4,2002,6
VQC00672551,2002-07-15,51.4,2002,7
VQC00672551,2002-08-15,93.1,2002,8
VQC00672551,2002-09-15,88.4,2002,9
VQC00672551,2002-10-15,91.2,2002,10
VQC00672551,2002-11-15,50.9,2002,11
VQC00672551,2002-12-15,93,2002,12
VQC00672551,2003-01-15,62.9,2003,1
VQC00672551,2003-02-15,31.8,2003,2
VQC00672551,2003-03-15,28.5,2003,3
VQC00672551,2003-04-15,245,2003,4
VQC00672551,2003-05-15,25.4,2003,5
VQC00672551,2003-06-15,16.4,2003,6
VQC00672551,2003-07-15,83,2003,7
VQC00672551,2003-08-15,48.3,2003,8
VQC00672551,2003-09-15,,2003,9
VQC00672551,2003-10-15,22.9,2003,10
VQC00672551,2003-11-15,,2003,11
VQC00672551,2003-12-15,106.7,2003,12
VQC00672551,2004-01-15,88.9,2004,1
VQC00672551,2004-02-15,47.5,2004,2
VQC00672551,2004-03-15,60.5,2004,3
VQC00672551,2004-04-15,30.5,2004,4
VQC00672551,2004-05-15,88.6,2004,5
VQC00672551,2004-06-15,28.9,2004,6
VQC00672551,2004-07-15,87.7,2004,7
VQC00672551,2004-08-15,68.6,2004,8
VQC00672551,2004-10-15,42.1,2004,10
VQC00672551,2004-11-15,228.5,2004,11
VQC00672551,2004-12-15,106.6,2004,12
VQC00672551,2005-01-15,119,2005,1
VQC00672551,2005-02-15,20.3,2005,2
VQC00672551,2005-03-15,0.3,2005,3
VQC00672551,2005-04-15,,2005,4
VQC00672551,2005-05-15,101.8,2005,5
VQC00672551,2005-06-15,17.8,2005,6
VQC00672551,2005-08-15,68.5,2005,8
VQC00672551,2005-09-15,97.1,2005,9
VQC00672551,2005-10-15,177.8,2005,10
VQC00672551,2005-11-15,69.9,2005,11
VQC00672551,2005-12-15,34.4,2005,12
VQC00672551,2006-01-15,106.8,2006,1
VQC00672551,2006-02-15,25.4,2006,2
VQC00672551,2006-03-15,16.8,2006,3
VQC00672551,2006-06-15,108.7,2006,6
VQC00672551,2006-07-15,205.5,2006,7
VQC00672551,2006-08-15,145.3,2006,8
VQC00672551,2006-09-15,47,2006,9
VQC00672551,2006-10-15,173.8,2006,10
VQC00672551,2006-11-15,64.6,2006,11
VQC00672551,2006-12-15,76.6,2006,12
VQC00672551,2007-01-15,25.7,2007,1
VQC00672551,2007-02-15,24.6,2007,2
VQC00672551,2007-03-15,36.1,2007,3
VQC00672551,2007-04-15,234.7,2007,4
VQC00672551,2007-05-15,112.7,2007,5
VQC00672551,2007-06-15,54.6,2007,6
VQC00672551,2007-07-15,44.5,2007,7
VQC00672551,2007-08-15,90.4,2007,8
VQC00672551,2007-09-15,39.5,2007,9
VQC00672551,2007-10-15,231.9,2007,10
VQC00672551,2007-11-15,65.9,2007,11
VQC00672551,2007-12-15,109.2,2007,12
VQC00672551,2008-01-15,99.9,2008,1
VQC00672551,2008-02-15,42,2008,2
VQC00672551,2008-03-15,38.2,2008,3
VQC00672551,2008-04-15,128,2008,4
VQC00672551,2008-05-15,31.2,2008,5
VQC00672551,2008-06-15,36.6,2008,6
VQC00672551,2008-07-15,51.8,2008,7
VQC00672551,2008-08-15,191.1,2008,8
VQC00672551,2008-09-15,250.3,2008,9
VQC00672551,2008-10-15,172.1,2008,10
VQC00672551,2008-11-15,74,2008,11
VQC00672551,2008-12-15,37.3,2008,12
VQC00672551,2009-01-15,39.7,2009,1
VQC00672551,2009-02-15,32.5,2009,2
VQC00672551,2009-03-15,24.9,2009,3
VQC00672551,2009-04-15,12.5,2009,4
VQC00672551,2009-05-15,157.4,2009,5
VQC00672551,2009-06-15,72.6,2009,6
VQC00672551,2009-07-15,41,2009,7
VQC00672551,2009-08-15,39.2,2009,8
VQC00672551,2009-09-15,113.3,2009,9
VQC00672551,2009-10-15,,2009,10
VQC00672551,2009-11-15,180.9,2009,11
VQC00672551,2009-12-15,76.4,2009,12
VQC00672551,2010-01-15,79.7,2010,1
VQC00672551,2010-02-15,13.3,2010,2
VQC00672551,2010-03-15,43.6,2010,3
VQC00672551,2010-04-15,47.1,2010,4
VQC00672551,2010-05-15,221.4,2010,5
VQC00672551,2010-06-15,176.3,2010,6
VQC00672551,2010-07-15,279.1,2010,7
VQC00672551,2010-08-15,110.8,2010,8
VQC00672551,2010-09-15,75.7,2010,9
VQC00672551,2010-10-15,324.4,2010,10
VQC00672551,2010-11-15,177.3,2010,11
VQC00672551,2010-12-15,8.7,2010,12
VQC00672551,2011-01-15,26.6,2011,1
VQC00672551,2011-02-15,29.5,2011,2
VQC00672551,2011-04-15,38.2,2011,4
VQC00672551,2011-08-15,202.5,2011,8
VQC00672551,2012-02-15,18.4,2012,2
VQC00672551,2012-03-15,69.6,2012,3
VQC00672551,2012-04-15,60.3,2012,4
VQC00672551,2012-06-15,2.2,2012,6
VQC00672551,2012-07-15,109.2,2012,7
VQC00672551,2012-10-15,86.4,2012,10
VQC00672551,2012-11-15,124.1,2012,11
VQC00672551,2012-12-15,38.8,2012,12
VQC00672551,2013-01-15,58.4,2013,1
VQC00672551,2013-02-15,30,2013,2
VQC00672551,2013-03-15,43.3,2013,3
VQC00672551,2013-04-15,18.9,2013,4
VQC00672551,2013-05-15,124.5,2013,5
VQC00672551,2013-06-15,45,2013,6
VQC00672551,2013-07-15,127.8,2013,7
VQC00672551,2013-08-15,109.5,2013,8
VQC00672551,2013-09-15,98.3,2013,9
VQC00672551,2013-11-15,220.1,2013,11
VQC00672551,2013-12-15,103,2013,12
VQC00672551,2014-01-15,41.8,2014,1
VQC00672551,2014-02-15,45.6,2014,2
VQC00672551,2014-03-15,14.7,2014,3
VQC00672551,2014-04-15,24.5,2014,4
VQC00672551,2014-05-15,192.9,2014,5
VQC00672551,2014-06-15,19.2,2014,6
VQC00672551,2014-07-15,40,2014,7
VQC00672551,2014-08-15,194.5,2014,8
VQC00672551,2014-09-15,51.3,2014,9
VQC00672551,2014-10-15,56.5,2014,10
VQC00672551,2014-11-15,273.5,2014,11
VQC00672551,2014-12-15,53.8,2014,12
VQC00672551,2015-01-15,49.2,2015,1
VQC00672551,2015-02-15,71,2015,2
VQC00672551,2015-03-15,43.1,2015,3
VQC00672551,2015-04-15,8.3,2015,4
VQC00672551,2015-05-15,6.5,2015,5
VQC00672551,2015-06-15,61.6,2015,6
VQC00672551,2015-07-15,19.3,2015,7
VQC00672551,2015-08-15,81.4,2015,8
VQC00672551,2015-09-15,28,2015,9
VQC00672551,2015-10-15,88,2015,10
VQC00672551,2015-11-15,130.2,2015,11
VQC00672551,2016-01-15,31.6,2016,1
VQC00672551,2016-02-15,73.9,2016,2
VQC00672551,2016-03-15,54.1,2016,3
VQC00672551,2016-04-15,86.1,2016,4
VQC00672551,2016-05-15,114.9,2016,5
VQC00672551,2016-06-15,10,2016,6
VQC00672551,2016-08-15,82.2,2016,8
VQC00672551,2016-09-15,60.7,2016,9
VQC00672551,2016-10-15,141.5,2016,10
VQC00672551,2016-11-15,247.5,2016,11
VQC00672551,2016-12-15,127.5,2016,12
VQC00672551,2017-01-15,40.6,2017,1
VQC00672551,2017-02-15,64.4,2017,2
VQC00672551,2017-03-15,46.9,2017,3
VQC00672551,2017-04-15,33.4,2017,4
VQC00672551,2017-05-15,192.8,2017,5
VQC00672551,2017-06-15,54.5,2017,6
VQC00672551,2017-07-15,165.9,2017,7
VQC00672551,2017-08-15,249.9,2017,8
VQC00672551,2017-09-15,581.5,2017,9
VQC00672551,2017-10-15,357.6,2017,10
VQC00672551,2017-11-15,132.9,2017,11
VQC00672551,2018-01-15,88.7,2018,1
VQC00672551,2018-02-15,84.4,2018,2
VQC00672551,2018-03-15,17.3,2018,3
VQC00672551,2018-04-15,48.7,2018,4
VQC00672551,2018-05-15,27.5,2018,5
VQC00672551,2018-06-15,36,2018,6
VQC00672551,2018-07-15,40.1,2018,7
VQC00672551,2018-08-15,231.7,2018,8
VQC00672551,2018-09-15,49.8,2018,9
VQC00672551,2018-10-15,118.8,2018,10
VQC00672551,2018-11-15,150.2,2018,11
VQC00672551,2018-12-15,38.3,2018,12
VQC00672551,2019-01-15,61.3,2019,1
VQC00672551,2019-02-15,43.6,2019,2
VQC00672551,2019-03-15,13.7,2019,3
VQC00672551,2019-04-15,25.5,2019,4
VQC00672551,2019-05-15,81.8,2019,5
VQC00672551,2019-06-15,39.9,2019,6
VQC00672551,2019-07-15,94.5,2019,7
VQC00672551,2019-08-15,148.2,2019,8
VQC00672551,2019-09-15,114.2,2019,9
VQC00672551,2019-10-15,81.5,2019,10
VQC00672551,2019-11-15,57.9,2019,11
VQC00672551,2019-12-15,147.9,2019,12
VQC00672551,2020-01-15,148.5,2020,1
VQC00672551,2020-02-15,52,2020,2
VQC00672551,2020-03-15,55.9,2020,3
VQC00672551,2020-04-15,32.5,2020,4
VQC00672551,2020-05-15,72.3,2020,5
VQC00672551,2020-06-15,51.9,2020,6
VQC00672551,2020-07-15,107.2,2020,7
VQC00672551,2020-08-15,78.5,2020,8
VQC00672551,2020-09-15,140.1,2020,9
VQC00672551,2020-10-15,263,2020,10
VQC00672551,2020-11-15,117,2020,11
VQC00672551,2020-12-15,66.1,2020,12
VQC00672551,2021-01-15,20.1,2021,1
VQC00672551,2021-02-15,35.2,2021,2
VQC00672551,2021-03-15,19.2,2021,3
VQC00672551,2021-04-15,64.3,2021,4
VQC00672551,2021-05-15,38.8,2021,5
VQC00672551,2021-06-15,96.9,2021,6
VQC00672551,2021-07-15,57.6,2021,7
VQC00672551,2021-08-15,71.1,2021,8
VQC00672551,2021-09-15,75.3,2021,9
VQC00672551,2021-10-15,81.2,2021,10
VQC00672551,2021-11-15,38.7,2021,11
VQC00672551,2021-12-15,69,2021,12
VQC00672551,2022-01-15,50.6,2022,1
VQC00672551,2022-02-15,152.1,2022,2
VQC00672551,2022-03-15,56.1,2022,3
VQC00672551,2022-04-15,33.9,2022,4
VQC00672551,2022-05-15,9.8,2022,5
VQC00672551,2022-06-15,8.1,2022,6
VQC00672551,2022-07-15,74.1,2022,7
VQC00672551,2022-08-15,46.5,2022,8
VQC00672551,2022-09-15,389.7,2022,9
VQC00672551,2022-10-15,116.3,2022,10
VQC00672551,2022-11-15,136.6,2022,11
VQC00672551,2022-12-15,49.9,2022,12
